seqname	group	gate-1_norm-percent	gate-2_norm-percent	gate-3_norm-percent	gate-4_norm-percent	gate-5_norm-percent	gate-1_norm-count	gate-2_norm-count	gate-3_norm-count	gate-4_norm-count	gate-5_norm-count	corrected-p	enriched-gate
FP020288_PAK6_9	promoter	34.01906493320098	20.856606346206753	10.608905739812698	11.178222440167925	23.337200540611658	0.9481	0.5812666666666667	0.29566666666666663	0.31153333333333333	0.6504	1.0	0
FP002346_RGL1_1	promoter	37.72529418579632	39.375382731169616	3.854620082421674	9.273265917479021	9.771437083133346	0.7598	0.7930333333333334	0.07763333333333333	0.18676666666666666	0.1968	1.0	0
FP011377_TRIM4_2	promoter	26.843353972571038	28.34326717203866	17.406400092587234	14.978299866905854	12.42867889589723	0.7731333333333333	0.8163333333333334	0.5013333333333333	0.4314	0.35796666666666666	1.0	0
FP026218_JOSD2_3	promoter	18.254463811244552	32.33074715697736	16.161388032734617	14.962403018386652	18.29099798065682	0.9160333333333334	1.6224	0.811	0.7508333333333334	0.9178666666666666	1.0	0
FP008727_RBM27_5	promoter	34.79312259915768	26.228768454667467	17.306891285231636	10.22700976535382	11.444207895589392	1.0023666666666666	0.7556333333333334	0.4986	0.29463333333333336	0.3297	1.0	0
FP019366_IRF9_3	promoter	32.65687621259542	28.39562120289465	19.070142891535554	3.691954739212327	16.185404953762056	0.7686666666666667	0.6683666666666667	0.44886666666666664	0.0869	0.3809666666666667	1.0	0
FP011672_SND1_1	promoter	16.233565073304273	15.978531032743776	35.320053312200564	15.764561795324376	16.703288786427002	0.7511	0.7393000000000001	1.6341999999999999	0.7294	0.7728333333333334	1.0	0
FP004999_GRIP2_1	promoter	24.301689046928367	16.24771908482665	25.056145604267066	8.200182473213866	26.19426379076405	1.3850666666666667	0.9260333333333334	1.4280666666666666	0.46736666666666665	1.4929333333333334	1.0	0
FP025416_ZNF91_1	promoter	20.61910380687303	28.75789687625263	19.62546647320849	13.991091137997028	17.006441705668813	1.2174	1.6979333333333333	1.1587333333333334	0.8260666666666666	1.0041	1.0	0
FP007042_USO1_1	promoter	18.04295293126722	34.40317199930852	14.097815572368594	21.12704548714686	12.32901400990882	1.6351666666666667	3.1178333333333335	1.2776333333333334	1.9146666666666667	1.1173333333333333	1.0	0
FP016545_THAP12_1	promoter	17.23318863133754	51.53984765337047	10.16708985174871	9.37996559914817	11.679908264395118	0.7013333333333334	2.0975	0.41376666666666667	0.3817333333333333	0.47533333333333333	1.0	0
ENSG00000166454.10(+)	enhancer	23.90646047739641	27.511180559297372	17.488011207500403	5.779406218007435	25.314941537798376	0.7394666666666667	0.8509666666666666	0.5409333333333334	0.17876666666666666	0.7830333333333334	1.0	0
ENSG00000115266.12(+)	enhancer	32.58952591618341	18.573264781491	9.309798529323848	17.921623722125904	21.60578705087583	0.7268333333333333	0.41423333333333334	0.20763333333333334	0.3997	0.48186666666666667	1.0	0
ENSG00000183155.5(-)	enhancer	33.61188128979257	34.597710002053816	11.681043335387145	4.786660505237215	15.322704867529268	0.8728333333333333	0.8984333333333333	0.30333333333333334	0.1243	0.3979	1.0	0
FP025101_TNPO2_2	promoter	27.90072135957941	25.34351575799186	12.706556189867108	27.49913004222822	6.550076650333406	1.9777333333333333	1.7964666666666667	0.9007	1.9492666666666667	0.4643	1.0	0
FP003146_MRPL33_2	promoter	22.553312552570386	28.45603879075751	15.204591559052002	12.95581613972589	20.830240957894215	0.6077666666666667	0.7668333333333334	0.40973333333333334	0.3491333333333333	0.5613333333333334	1.0	0
FP015712_IMMP1L_1	promoter	32.42513376474213	25.352830770092723	10.007003389640586	13.712076645096225	18.502955430428326	1.9291333333333334	1.5083666666666666	0.5953666666666667	0.8158	1.1008333333333333	1.0	0
FP016165_FKBP2_1	promoter	46.825279341728475	23.205908926174153	0.1776353065485154	13.725390108571926	16.065786316976933	3.0578000000000003	1.5154	0.011600000000000001	0.8963	1.0491333333333333	1.0	0
FP022382_RILP_2	promoter	17.66858858929315	46.14373947879336	16.050888913654255	3.899371806978749	16.237411211280495	1.0041	2.622333333333333	0.9121666666666667	0.2216	0.9227666666666666	1.0	0
FP005304_MAP4_2	promoter	20.34667147320356	20.564467676039417	14.599855803893297	21.36055034847393	23.12845469838981	0.45153333333333334	0.4563666666666667	0.324	0.47403333333333336	0.5132666666666666	1.0	0
ENSG00000227868.6(-)	enhancer	31.43570581683613	14.220529587180685	5.836596845471203	27.76021269715805	20.74695505335393	0.5832999999999999	0.2638666666666667	0.10830000000000001	0.5151	0.3849666666666666	1.0	0
FP016282_EFEMP2_2	promoter	21.9023750132996	23.125938360779767	25.976190757663524	13.552589580205462	15.442906288051637	1.2351333333333334	1.3041333333333334	1.4648666666666668	0.7642666666666666	0.8708666666666667	1.0	0
FP015878_PTPMT1_2	promoter	17.757804500417993	42.2192432689121	16.376218718929163	5.157821318862876	18.488912192877883	1.1966333333333334	2.845	1.1035333333333333	0.34756666666666663	1.2459	1.0	0
